row_ids,col1,col2,col3,col4,col5,col6
row1,6.64379250477,6.57090450293,9.19192668165,5.05769298447,2.55456335525,8.18484796917
row2,0.835232210152,4.33508427532,9.88033891083,0.123678540424,1.55588913833,9.25521397957
row3,0.625088493765,7.31288922313,4.25002250752,4.73500335331,5.96889757288,9.18105923477
row4,4.65719749518,8.13373410397,7.74795850551,2.09319539318,9.99681338507,3.97161100351
row5,2.89224667188,6.15609004415,7.72568249872,0.4031015705,5.04895503677,4.6201306325
row6,8.67979598433,1.15905189707,9.80174242715,7.55094341941,6.80956528822,9.25470049341
row7,1.00172584597,3.57690348139,0.395453585817,8.33592962405,5.8789069407,5.72512389793
row8,3.88875188585,3.42992267931,0.611953755242,5.39083885369,7.7736715423,5.40899099782
row9,5.06716926863,2.31187857433,9.6545030552,8.34881148426,1.71385631144,4.08565548573
row10,5.25496383458,7.72868941927,9.97492382552,0.307251919476,3.29256286473,8.00773699859
row11,4.1138050592,6.93957478155,8.31957564068,9.63670164819,4.02118597312,2.56237733914
row12,0.699085187089,3.72655718835,2.61005129037,0.807131424635,7.39102700873,6.03557739255
